Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Practitioner-1c616b24-3895-48c4-9a02-9a64110351ee.json	653	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-ConnectathonSubmission.json	7855	8	0	0	0	0	0	0	1	107	0	0	0	0	0	0	0	0	0	0	75	10962	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ConsentPeriod.json	1240	7	0	0	0	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	36	611	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ConsentVerifiedBy.json	1528	7	1	0	0	0	0	33	0	7	0	0	0	0	0	0	0	0	0	0	48	230	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HajjConsent.json	1707	7	0	0	0	0	0	138	0	23	0	0	0	0	0	0	0	1	0	0	266	1482	0	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-HajjIPS-Composition.json	1699	6	0	0	0	0	0	222	1	73	0	0	1	0	0	0	0	5	0	0	610	3395	0	0	0	0	23	0	3
fsh-generated/resources/StructureDefinition-HajjIPS.json	1668	7	0	0	0	0	0	358	0	196	0	0	1	0	0	0	0	9	0	0	1548	4005	0	0	0	0	60	1	6
fsh-generated/resources/StructureDefinition-HajjOrganization.json	656	7	0	0	0	0	0	55	0	18	0	0	0	0	0	0	0	0	0	0	79	154	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-Browser.json	345	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	205	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DistributionModel.json	407	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	184	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.ACTOR.SYSTEM.json	816	7	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	187	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.ACTOR.json	450	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	189	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.CONSENT.json	491	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	187	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.TRANSACTION.json	492	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	200	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-Language.json	351	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	188	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-LicensingModel.json	389	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	180	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-OperatingSystem.json	395	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	186	0	0	0	0	1	0	0
