URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/ips-pilgrimage/CodeSystem/BrowserCs,1.0.1,draft,,BrowserCs,Browser,"Browser","ValueSet/Browser"
http://smart.who.int/ips-pilgrimage/CodeSystem/DistributionModelCs,1.0.1,draft,,DistributionModelCs,Distribution Model,"Distribution Model","ValueSet/DistributionModel"
http://smart.who.int/ips-pilgrimage/CodeSystem/IPS.HAJJ.ACTOR,1.0.1,active,,IPS_HAJJ_ACTOR,IPS.HAJJ.ACTOR CodeSystem,"CodeSystem for IPS.HAJJ.ACTOR CodeSystem for utilization of IPS during Hajj","ValueSet/IPS.HAJJ.ACTOR,ValueSet/IPS.HAJJ.ACTOR.SYSTEM"
http://smart.who.int/ips-pilgrimage/CodeSystem/IPS.HAJJ.CONSENT,1.0.1,active,,IPS_HAJJ_CONSENT,IPS.HAJJ.CONSENT CodeSystem,"CodeSystem for IPS.HAJJ.CONSENT CodeSystem for utilization of IPS during Hajj","ValueSet/IPS.HAJJ.CONSENT"
http://smart.who.int/ips-pilgrimage/CodeSystem/IPS.HAJJ.TRANSACTION,1.0.1,active,,IPS_HAJJ_TRANSACTION,IPS.HAJJ.TRANSACTION CodeSystem,"CodeSystem for IPS.HAJJ.TRANSACTION CodeSystem for utilization of IPS during Hajj","ValueSet/IPS.HAJJ.TRANSACTION"
http://smart.who.int/ips-pilgrimage/CodeSystem/LanguageCs,1.0.1,draft,,LanguageCs,Language,"Language","ValueSet/Language"
http://smart.who.int/ips-pilgrimage/CodeSystem/LicensingModelCs,1.0.1,draft,,LicensingModelCs,Licensing Model,"Licensing Model","ValueSet/LicensingModel"
http://smart.who.int/ips-pilgrimage/CodeSystem/OperatingSystemCs,1.0.1,draft,,OperatingSystemCs,Operating System,"Operating System","ValueSet/OperatingSystem"
